2023-02-10,7400
2023-03-17,6784
2023-10-17,6840
2023-10-18,6740
2023-10-19,6709
2023-10-20,6655
2023-10-23,6880
2023-10-24,6780
2023-10-25,6740
2023-10-26,6730
2023-10-27,6659
2023-10-30,6770
2023-10-31,6786
2023-11-01,6700
2023-11-02,6720
2023-11-03,6675
2023-11-04,6655
2023-11-05,6690
2023-11-06,6745
2023-11-07,6680
2023-11-08,6705
2023-11-09,6645
2023-11-10,6675
2023-11-12,6650
2023-11-13,6759
2023-11-15,6745
2023-11-16,6715
2023-11-17,6670
2023-11-18,6660
2023-11-19,6750
2023-11-20,6650
2023-11-21,6735
2023-11-22,6685
2023-11-23,6720
2023-11-24,6710
